state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
VT,1986,0.17,1.138,131.2
IN,2015,0.995,5.41,62.7
CA,2005,0.87,3.953,33.1
CT,1982,0.21,0.956,114.7
AL,2005,0.425,3.56,82.4
MD,1983,0.13,0.842,128.2
NM,2009,0.91,5.102,32.7
OH,2005,0.55,4.097,89
WY,2017,0.6,5.327,52.4
AR,2008,0.59,3.93,77
GA,2014,0.37,4.793,49
KS,1984,0.16,0.975,121.7
VA,1999,0.025,2.528,102.1
VT,2006,1.19,4.851,63.9
ID,1974,0.091,0.403,125.6
SC,1990,0.07,1.29,118.6
AZ,2013,2,6.622,24.4
ME,1975,0.16,0.499,140.7
ND,2004,0.44,3.399,65.7
VT,1979,0.12,0.589,160.9
NJ,2015,2.7,7.38,28.3
MA,1971,0.16,0.46,121.4
IL,1981,0.12,0.696,133
TN,1990,0.13,1.374,121.8
CT,1981,0.21,0.856,116.4
NC,1997,0.05,1.676,125.6
IL,2017,1.98,7.549,30.7
LA,1997,0.2,1.859,105.3
NJ,1992,0.4,2.054,86.6
WI,1990,0.3,1.586,94.1
NC,1995,0.05,1.456,124.9
MD,2016,2,6.719,30.4
NC,2014,0.45,4.758,56.7
MA,2007,1.51,5.13,43
MN,1980,0.18,0.658,117.7
AR,1975,0.1775,0.509,114.8
NH,1996,0.25,1.766,158
TX,1999,0.41,2.923,67.8
OR,1989,0.27,1.569,106.6
OH,1981,0.15,0.683,132.8
AL,2018,0.675,5.55,54.7
UT,1984,0.12,1.046,66.3
MO,1977,0.09,0.499,140.8
RI,1993,0.37,1.689,94.1
MA,1991,0.26,1.759,93.5
CT,2006,1.51,4.67,50.9
TX,1971,0.155,0.469,108.9
IL,2012,0.98,6.854,46.5
NE,2008,0.64,3.767,63.2
ND,1982,0.12,0.779,126.8
RI,1994,0.37,2.096,91.9
WA,2018,3.025,8.316,16.1
SC,2002,0.07,3.106,97.5
KY,1983,0.03,0.754,201.1
MO,2006,0.17,3.251,105.1
TN,1972,0.13,0.408,111.5
RI,1973,0.13,0.413,142
VA,1988,0.025,1.094,129.5
SC,2019,0.57,5.569,52.6
WI,2004,0.77,3.761,69.9
TN,2019,0.62,5.545,55.5
ID,2002,0.28,3.181,63.3
TN,1995,0.13,1.559,125.4
OH,1998,0.24,1.932,106.4
MD,2019,2,7.256,26.4
ND,1980,0.12,0.62,123.7
WY,1998,0.12,1.896,102.9
AL,1972,0.12,0.421,101.1
NY,1995,0.56,2.142,70.5
RI,1982,0.23,0.84,146.3
AK,1977,0.08,0.563,159.3
NV,1984,0.15,1.093,136.6
PA,1989,0.18,1.337,107.1
MI,2010,2,6.21,48.8
OR,1996,0.38,1.976,94.3
NV,1999,0.35,3.035,103.9
IN,1998,0.155,1.9,135.9
AZ,2018,2,7.362,21.8
WA,1976,0.16,0.537,100.3
VT,2000,0.44,3.232,88.9
SC,1989,0.07,1.252,122.4
NY,2006,1.5,5.444,32.4
ME,2000,0.74,3.532,82.9
MI,1974,0.11,0.444,138.8
MN,2005,0.48,4.467,65.7
MN,2011,1.576,5.907,51.5
DE,1972,0.14,0.44,156.3
AL,1987,0.165,1.144,114
KS,1981,0.11,0.651,132
SD,1988,0.23,1.301,91.9
OK,1993,0.23,1.634,86.2
DC,1987,0.17,1.19,113
WI,2018,2.52,7.645,37.2
OR,2001,0.68,3.623,68.6
NH,1994,0.25,1.639,153.8
TX,2009,1.41,5.529,42.3
SC,1999,0.07,2.553,109.4
MN,1990,0.38,1.739,90.7
AR,1989,0.21,1.412,118.3
OK,1984,0.18,0.951,128.1
MA,1984,0.26,1.083,116
NV,1991,0.35,1.938,115.5
NJ,2003,1.5,5.47,48.1
HI,1986,0.28,1.242,61.2
MS,1992,0.18,1.778,103.9
MS,1989,0.18,1.399,108.3
ME,2005,1,5.213,71.5
ND,2019,0.44,5.429,59.9
NM,1979,0.12,0.626,101
KS,1991,0.24,1.742,91.8
WV,1980,0.17,0.662,122.3
CO,2006,0.84,4.025,53.1
TX,1983,0.185,0.938,126.4
TN,1981,0.13,0.683,129.1
NH,2013,1.68,6.009,89.6
NJ,1977,0.19,0.619,122.8
AL,1999,0.165,2.707,100.7
MA,1983,0.21,1.014,119.8
VA,1977,0.025,0.428,157.7
SC,1970,0.06,0.343,103.6
NY,1996,0.56,2.225,65.9
CT,1979,0.21,0.67,117.4
UT,1973,0.08,0.378,72.7
MO,1997,0.17,1.738,120.6
TX,2000,0.41,3.112,69.3
TX,1987,0.205,1.28,105.8
NC,1984,0.02,0.789,160.6
AL,2006,0.425,3.535,83.3
VA,1997,0.025,1.622,108
NY,2016,4.35,10.226,14
AR,1976,0.1775,0.526,119.1
KS,1975,0.11,0.466,123.4
CO,2012,0.84,5.299,40.6
